포맷,설명,사용 예
"AM, A.M.",오전,"TO_CHAR(SYSDATE, ‘AM’) → 오전"
"PM, P.M.",오후,"TO_CHAR(SYSDATE, ‘PM’) → 오후"
"YYYY, YYY, YY, Y",연도,"TO_CHAR(SYSDATE, ‘YYYY’) → 2014"
"MONTH, MON",월,"TO_CHAR(SYSDATE, ‘MONTH’) → 2월"
MM,01~12 형태의 월,"TO_CHAR(SYSDATE, ‘MM’) → 02"
D,주중의 일을 1~7로,"TO_CHAR(SYSDATE, ‘D’) → 2"
DAY,주중 일을 요일로 표시,"TO_CHAR(SYSDATE, ‘DAY’) → 월요일"
DD,일을 01~31 형태로 표시,"TO_CHAR(SYSDATE, ‘DD’) → 01"
DDD,일을 001~365 형태로,"TO_CHAR(SYSDATE, ‘DDD’) → 041"
DL,현재 일을 요일까지 표시,"TO_CHAR(SYSDATE, ‘DL’) → 2014년 2월 10일 월요일"
"HH, HH12",시간을 01~12시 형태로,"TO_CHAR(SYSDATE, ‘HH’) → 04"
HH24,시간을 01~23시 형태로,"TO_CHAR(SYSDATE, ‘HH24’) → 16"
MI,분을 00~59분 형태로,"TO_CHAR(SYSDATE, ‘MI’) → 56"
SS,초를 01~59초 형태로,"TO_CHAR(SYSDATE, ‘SS’) → 33"
WW,주를 01~53주 형태로,"TO_CHAR(SYSDATE, ‘WW’) → 06"
